protein (g),calcium (g),sodium (g),fiber (g),vitaminc (g),potassium (g),carbohydrate (g),sugars (g),fat (g),water (g),calories,saturated (g),monounsat (g),polyunsat (g)
6.09,0.661,0.077,21.6,0.0392,1.044,72.12,0,8.69,8.46,263,2.55,0.66,2.36
17.6,0.646,0.016,14.6,0.021,1.441,50.02,0,15.9,9.54,337,0.586,9.78,3.15
22.98,2.24,0.076,37.7,0.0008,2.63,47.75,1.71,4.07,10.35,233,2.157,1.238,0.498
7.61,0.834,0.023,26.3,0.0465,0.529,74.97,0,8.36,5.44,313,2.28,1.64,2.29
19.77,0.689,0.017,38,0.021,1.351,49.9,0.64,14.59,9.87,333,0.62,7.125,3.272
10.76,0.383,0.018,28,0.021,1.119,68.47,0,6.7,8.28,311,0.68,0.87,0.43
18.07,1.767,0.16,11.8,0.0171,1.4,41.35,0.67,25.27,6.04,392,2.19,15.93,3.72
23.2,1.346,0.083,11.3,0.05,4.74,49.1,0,3.9,7.2,237,0.169,1.399,1.8
13.46,0.33,1.64,34.8,0.0007,1.95,49.7,7.19,14.28,10.75,282,2.462,3.211,8.006
3.99,1.002,0.01,53.1,0.0038,0.431,80.59,2.17,1.24,10.58,247,0.345,0.246,0.068
5.98,0.646,0.243,34.2,0.0808,1.102,61.21,2.38,20.07,6.86,323,5.438,1.471,7.088
21.93,1.246,0.211,10.4,0.5667,4.466,52.1,7.27,4.78,7.3,279,0.115,2.232,0.328
12.37,0.709,0.035,41.9,0.021,1.267,54.99,0,17.77,8.86,298,0.99,13.58,1.75
17.81,0.931,0.168,10.5,0.0077,1.788,44.24,2.25,22.27,8.06,375,1.535,14.04,3.279
12.66,0.478,0.052,33.2,0.0114,1.543,58.15,2.76,13.81,9.52,325,2.237,5.551,2.557
15.98,1.516,0.02,21.1,0.021,1.186,55.17,0,14.54,7.7,305,0.73,9.41,1.01
19.96,1.784,0.208,13.6,0.05,3.308,55.82,0,4.36,7.3,253,0.234,0,0
15.8,1.196,0.088,39.8,0.021,1.694,52.29,0,14.87,8.81,345,0.48,9.91,1.69
23,0.176,0.067,24.6,0.003,0.77,58.35,0,6.41,8.84,323,1.46,0,0
