protein (g),calcium (g),sodium (g),fiber (g),vitaminc (g),potassium (g),carbohydrate (g),sugars (g),fat (g),water (g),calories,saturated (g),monounsat (g),polyunsat (g)
4.1,0.01,0.387,1.1,0,0.049,77.5,39.9,5.8,12.5,367,1.1,2.7,2
4.5,0.011,0.35,1.2,0,0.054,76.6,35.8,5.5,12.5,369,1.2,2.9,1.3
6.1,0,2.182,0,0,0,79.8,0,3.7,3.2,377,0,0,0
12.6,0.063,1.532,2.5,0.0033,0.267,73.1,10.1,4.1,5.3,381,0.8,0,0
6.81,0.063,0.515,1.2,0,0.09,53.16,25.81,25.24,12.99,467,0,0,0
0,5.876,10.6,0.2,0,0.02,27.7,0,0,5,53,0,0,0
0.1,7.364,7.893,0.2,0,0.005,24.1,0,0,4,51,0,0,0
0.1,4.332,0.09,2.2,0,10.1,46.9,0,0.4,6.2,97,0.073,0.006,0.121
0,0,27.36,0,0,0,0,0,0,0.2,0,0,0,0
0,0.008,0.052,0.2,0,16.5,61.5,0,0,1.7,258,0,0,0
40.44,0.03,0.051,26.9,0.0003,0.955,41.22,0,7.61,5.08,325,1.001,4.309,0.017
8.4,0.019,0.03,8.1,0.0001,0.601,18.1,0,1.9,69,105,0.243,1.047,0.004
7.81,0.168,1.295,1.5,0.0002,0.212,59.41,4.46,13.23,10,388,4.07,0,0
4.42,0.017,0.457,2.9,0,0.051,83.58,54.76,6.16,4,407,1.7,0,0
8,0,0.223,0,0.002,0,55.2,34,32.8,3,548,6.29,0,0
8.7,0.191,0.898,0,0,0,49.6,0,6,33.6,287,0.695,2.771,0.924
4.23,0.035,0.413,4.2,0.0009,0.096,50.05,27.05,4.22,39.94,255,1.549,0.86,1.363
5.28,0.035,0.349,1.7,0.0009,0.096,49.54,27.05,19.24,24.61,393,3.549,5.152,9.703
4.9,0.025,0.548,0,0.0004,0.084,63.2,0,10,20,366,2.489,5.507,1.393
6.5,0.189,0.441,0,0.0015,0.123,40.7,0,10.8,39.5,285,2.03,2.596,5.388
4.6,0.013,0.247,1.8,0,0.083,53.3,4.85,9.5,30.8,313,1.398,2.162,5.351
4.9,0.014,0.509,1.9,0,0.088,56.7,12.95,10.1,26.4,333,1.551,2.371,5.477
5.9,0.074,0.64,3.4,0,0.069,50.9,7.5,8.4,32.6,305,1.354,2.104,3.215
7.4,0.075,0.795,2.4,0.0001,0.131,49.1,0,10.2,30.5,321,2.797,5.249,1.25
7.1,0.259,0.585,0,0.0003,0.145,44.2,0,12.3,33,316,2.311,3.012,6.162
5.3,0.019,0.43,1.6,0,0.092,57.9,0,11.3,23.6,346,1.681,2.625,6.324
7,0.063,0.393,4.6,0,0.507,48.3,8.22,7.4,35,270,1.087,1.695,4.129
6.9,0.2,0.467,2.7,0.0003,0.121,41.4,0,11.4,37.7,296,2.156,2.757,5.721
7.1,0.036,0.7,0,0,0.2,73,0,12,4.8,396,2.939,6.403,1.904
5.2,0.037,0.495,7.7,0,0.166,52.2,13.98,8.8,31.4,295,1.357,2.036,4.822
5.5,0.039,0.527,8.2,0,0.177,55.5,23.07,9.4,27,313,1.5,2.221,4.918
6.99,0.079,0.659,3.4,0,0.177,76.2,23,10,3.6,424,1.56,3.6,0.46
4.78,0.024,0.528,3.2,0,0.194,70.23,36,21.5,1.57,476,4.14,3.17,0.82
7.23,0.154,0.882,2.3,0,0.119,63.51,8.14,23.21,3.12,492,5.45,6.276,10.896
5,0.03,0.174,1.6,0.0001,0.111,74.25,43.38,1.09,17.65,305,0.427,0.246,0.196
6.9,0.034,1.034,1.2,0,0,41.38,6.9,13.79,33.5,317,5.172,0,0
5.88,0,1.059,1.2,0,0,41.18,5.88,13.24,35.5,307,2.941,0,0
6.25,0,0.891,1.6,0,0,45.31,6.25,3.13,40.6,234,0.469,0,0
3.57,0,0.304,2.1,0,0,60.71,35.71,25,8.93,482,7.143,9.063,1.828
4.55,0,0.773,1.1,0,0,52.27,22.73,11.36,28,330,3.409,0,0
7.69,0,0.577,1.7,0,0,46.15,3.85,2.89,40,241,0.962,0,0
4.8,0,0.292,0,0,0,78.3,49.6,12.1,3.1,441,2.59,0,0
8.81,0.052,0.445,1.2,0,0.094,66.28,21.86,16.11,7.12,445,0,0,0
5.33,0.071,0.505,2.4,0.0003,0.124,39.29,9.73,5.17,48.22,225,0.81,1.891,1.081
6.1,0.206,0.412,0,0.0022,0.138,29,0,9.2,53.2,222,1.986,2.316,4.162
10.9,0.476,0.767,8.5,0,0.316,71.3,7.21,2.7,9.1,340,0.439,0.581,1
6.8,0.157,0.522,0,0.0004,0.145,28.7,0,9.3,52.5,227,1.832,2.361,4.486
10.1,0.241,1.215,2.7,0.0004,0.341,71.3,0,4.9,8.8,376,0.984,1.71,1.592
5.2,0.126,0.628,1.3,0.0002,0.175,36.7,0,2.5,53,194,0.507,0.881,0.82
10,0.342,1.089,5.4,0,0.191,73.6,2.21,1.7,9.1,355,0.25,0.324,0.726
7.8,0.215,0.505,1.9,0.0006,0.199,28.9,0,7.7,52.9,218,2.045,2.07,2.923
5.88,0.072,0.566,2.5,0,0.122,43.33,7.06,4.73,43.8,239,0.949,2.721,1.07
6.4,0.219,0.439,0,0.0003,0.132,28.3,0,9.7,52.9,227,2.122,2.474,4.447
8.9,0.099,0.456,0,0,0.676,73.9,0,1.4,10.8,349,0.202,0.276,0.611
12.8,0.449,1.419,0,0,0.445,71,0,1.5,8.8,344,0.244,0.279,0.605
8.5,0.25,0.572,2.8,0.0005,0.279,29.4,0,6.5,52.8,208,1.749,1.742,2.406
5.48,0.014,0.231,2.2,0,0.103,47.76,17,18.5,27.26,379,5.535,8.543,2.835
7.1,0.011,0.483,1.9,0,0.074,52.6,0.18,6,32.6,299,1.47,3.149,0.923
6.08,0.032,0.503,2.7,0,0.187,64.48,26.31,22.42,4.99,484,4.725,14.501,2.035
5.1,0.029,0.33,1.9,0,0.113,64.3,18.13,24.83,4.37,501,4.999,16.928,1.671
5.1,0.03,0.672,1.5,0,0.168,54.4,22.1,31.1,7.3,506,6.732,14.729,7.713
4.2,0.021,0.571,1.5,0,0.088,65.2,38.34,24.9,4.2,494,5.196,11.37,6.908
4.1,0.02,0.56,1.5,0,0.086,63.9,37.57,24.4,6.1,484,5.092,11.142,6.769
3.7,0.042,0.515,0.1,0.0001,0.079,50.2,7.33,36.2,8.5,531,7.434,15.647,10.682
6.1,0.023,0.393,2.3,0,0.103,52.47,0,31.84,8.26,521,8.862,16.459,3.918
5.52,0.02,0.353,1.4,0,0.091,46.79,0,28.74,17.78,468,8.129,14.489,3.53
3.41,0.012,0.472,1.4,0,0.083,58.52,0,28.69,7.96,506,11.087,11.815,3.756
2.97,0.01,0.409,1.8,0,0.073,51.11,0,25.46,19.25,445,9.596,10.206,3.292
6.9,0.061,0.753,0,0,0.064,52.1,0,31.4,7.6,518,7.974,17.887,3.968
6.7,0.06,0.729,1.8,0,0.062,50.4,0,30.4,10.6,501,7.711,17.289,3.847
6.16,0.019,0.409,2.5,0,0.097,48.62,0,26.07,17.82,457,8.159,12.167,3.176
6.5,0.021,0.467,3.3,0,0.114,56.24,4.23,28.59,7.18,508,9.277,13.562,3.568
3.9,0.018,0.576,0.9,0,0.098,44.1,0,29.2,21,457,4.357,12.414,11
6.4,0.01,0.542,1.7,0,0.067,47.5,0.17,34.6,9.8,527,8.622,15.169,9.122
5.7,0.009,0.482,3.4,0,0.059,42.3,0.15,30.8,19.7,469,7.674,13.5,8.119
2.17,0.014,0.2,1.6,0.0057,0.076,44.54,22.02,11.5,41.09,290,2.313,5.797,2.117
1.9,0.011,0.201,1.6,0.0032,0.065,34,15.65,11,52.2,237,3.797,4.388,2.198
1.9,0.011,0.266,1.6,0.0032,0.065,34,0,11,52.2,237,3.797,4.388,2.198
2.4,0.007,0.211,0,0.0017,0.079,37.1,0,12.5,47.3,265,3.05,5.393,3.338
3.4,0.073,0.29,0.6,0.0005,0.113,31.6,0,12.9,50.9,251,6.904,4.559,0.764
4.4,0.075,0.24,0.7,0.0016,0.165,32.9,12.06,13.6,47.9,269,3.758,5.719,3.292
1.8,0.008,0.219,1,0.0027,0.05,34.9,9.89,10,52.5,232,1.679,4.244,3.524
2.7,0.007,0.185,0,0.0007,0.05,33.5,0,11.9,51.2,245,2.911,5.121,3.08
2,0.012,0.246,0.8,0.0009,0.081,39.8,14.29,11,46.2,260,2.562,5.837,2.055
2.8,0.01,0.191,0,0.001,0.077,38.5,0,12.2,45.8,270,2.985,5.314,3.247
2.6,0.036,0.136,2,0,0.127,33.6,0,19.4,43.5,304,4.968,11.117,2.398
3.5,0.077,0.46,0,0.0005,0.285,29.6,0,15.4,49.7,260,8.195,5.084,0.814
2.8,0.072,0.329,0.5,0.0006,0.141,28.5,0,17.6,49.7,276,8.934,6.554,1.217
2.1,0.029,0.301,1.3,0,0.065,37.2,36.27,16.6,43.2,298,6.976,7.26,1.544
5.9,0.081,0.335,1.8,0.0006,0.175,30.2,0,13.2,49.2,260,5.854,5.495,1.17
5.5,0.08,0.15,1.6,0.0006,0.106,20.8,11.58,11.6,60.9,210,2.349,4.797,3.723
3,0.022,0.374,2.6,0.0013,0.065,42.6,0,16.1,37.6,316,2.457,7.449,5.376
3,0.022,0.374,2.6,0.0013,0.065,42.6,21.4,16.1,37.6,316,2.457,7.449,5.376
3,0.022,0.374,2.6,0,0.065,42.6,0,16.1,37.6,316,2.457,7.449,5.376
1.5,0.056,0.172,1.2,0.0032,0.089,47.2,23.86,8.7,41.7,268,1.766,2.685,3.648
3.8,0.012,0.242,0,0.0033,0.065,39.1,0,12.9,43.3,285,3.185,5.582,3.331
2.6,0.022,0.254,2.6,0.0059,0.203,48,28.31,10.8,37.4,289,2.682,4.654,2.842
1.9,0.008,0.194,0.8,0.0009,0.125,32.9,6.19,10,54.4,223,1.508,4.241,3.749
4.5,0.022,0.158,2.1,0,0.099,59.61,25.18,16.69,18.25,407,2.654,8.317,3.554
4.9,0.032,0.262,0,0.0002,0.133,52.2,0,22.2,19.5,412,3.989,11.181,5.71
3.9,0.064,0.338,1.8,0,0.167,34.83,18.88,9.75,50.39,243,1.988,4.6,1.77
4.5,0.094,0.225,0,0.0017,0.186,26.4,0,9.3,58.5,204,3.171,3.697,1.81
4.8,0.09,0.26,0.6,0.0005,0.126,32.6,12.68,14.4,47,278,4.03,6.043,3.438
10.4,0.032,0.906,0,0.0001,0.1,71,0,4.3,11.7,371,0.983,1.984,0.823
10.4,0.032,0.906,0,0.0001,0.1,71,0,4.3,11.7,371,0.983,1.984,0.823
7.3,0.01,0.249,1.5,0,0.061,45.1,0.74,38.1,8.5,551,9.643,21.597,4.894
7.4,0.01,0.253,1.5,0,0.062,45.7,0.75,38.5,7.4,558,5.502,8.828,22.228
9.5,0.059,0.459,3.7,0,0.104,52,4.3,6.4,30.4,307,1.577,2.93,1.128
9.5,0.085,0.413,4.1,0,0.121,40.2,6.67,4.6,44,236,0.619,1.488,1.568
10.86,0.178,0.536,2,0.0002,0.139,52.04,5.55,6.47,28.44,310,1.375,1.881,2.509
8.5,0.06,0.415,1.9,0.0002,0.152,53.4,0,7.3,29.1,316,1.795,2.881,2.006
10.3,0.03,0.65,4.9,0,0.18,53.1,1.17,3.4,30.1,286,0.605,1.236,0.708
8.6,0.176,0.485,3.8,0,0.115,46,1.63,6.3,37,273,1.497,3.109,1.107
8.7,0.106,0.401,7.5,0,0.272,51.1,8.46,4.7,33.1,266,0.836,1.199,2.161
8.6,0.091,0.507,3.2,0,0.114,50.2,0.31,4.3,34.8,277,0.962,1.961,0.834
9.6,0.095,0.458,3.8,0,0.16,44.6,6.25,6,38,263,1.39,2.839,1.153
9.5,0.138,0.479,2.1,0,0.094,49.45,6.25,4.33,34.7,279,1.092,1.112,1.968
8.3,0.059,0.442,6.2,0.0002,0.078,42.1,4.76,2,46,196,0.325,0.524,0.763
9.9,0.095,0.544,2.3,0,0.108,52.7,1.77,4.3,31,293,0.606,1.133,1.719
10.8,0.067,0.707,5.4,0,0.208,52.8,0.4,2.8,32,277,0.495,0.609,1.184
3.3,0.015,0.157,2.2,0.0017,0.149,41.1,25.75,11.2,43.5,274,2.044,3.267,5.315
7.1,0.118,0.357,1.2,0.0002,0.137,43.7,0,18.3,29.4,360,6.059,9.057,2.032
6.2,0.072,0.304,2.4,0.002,0.111,50.9,31.73,16.4,24.8,372,3.079,4.797,7.473
5,0.031,0.765,0,0.0002,0.058,51.6,0,12.2,28.9,333,3.081,6.839,1.604
5.4,0.034,0.832,0,0.0002,0.063,56.1,0,13.2,22.7,362,3.348,7.421,1.728
7.08,0.101,0.389,4.6,0,0.223,62.72,1.23,20.83,7.38,467,6.246,6.43,7.265
7.2,0.16,0.015,7.5,0,0.179,62.4,0,22.6,6,468,3.245,8.934,8.494
4.4,0.023,0.334,1.1,0,0.091,72.02,33.7,10.2,12.5,395,1.69,5.87,2.6
4.6,0.024,0.35,1.1,0,0.095,68.38,30.9,13.3,12.5,408,2.02,6.5,4.81
5.4,0.031,0.38,1.5,0,0.135,64.4,25.4,18.4,10.5,438,2.08,7.14,9.14
4.6,0.028,0.423,1.1,0,0.114,71.19,31.7,10.4,12.5,393,1.67,5.73,3
4.6,0.024,0.32,1.1,0,0.095,71.77,31.2,10,12.5,391,1.98,6.83,1.13
5,0.029,0.35,1.3,0,0.111,68.32,30.8,14.8,10.5,422,2.26,7.88,4.76
4.2,0.025,0.32,1,0,0.095,71.96,36,10.2,12.5,393,1.94,6.69,1.58
5.1,0.038,0.44,1.1,0,0.158,71.8,38,9.3,12.5,387,1.9,5.2,2.2
5,0.03,0.441,1,0,0.12,70.84,37.3,10.2,12.5,391,1.94,6.19,1.98
4.4,0.023,0.333,1,0,0.115,72.25,35.4,9.8,12.5,391,1.73,5.9,2.15
4.2,0.022,0.32,1,0,0.085,71.54,35.4,10.6,12.5,395,1.88,6.17,2.56
4.4,0.022,0.325,1,0,0.085,72.4,37.5,9.6,12.5,390,2.6,5.6,1.4
4.3,0.021,0.311,1,0,0.082,72.9,38.8,9.2,12.5,388,2.6,5.4,1.3
6.2,0.029,0.41,1.4,0,0.125,69.6,36.5,10.5,12.5,392,2.8,5.9,1.8
4.7,0.024,0.355,1.1,0,0.093,71,33,10.5,12.5,394,2.9,6.2,1.5
4.23,0.011,0.312,0.7,0,0.071,70.81,35.52,10.08,13.79,391,2.672,5.733,1.235
5.1,0.034,0.424,1,0.0001,0.114,68.1,0,14.2,10.8,412,3.639,8.032,1.802
4.67,0.011,0.334,1.1,0,0.075,69.23,28.59,10.56,14.43,391,2.618,6.404,1.082
4.7,0.011,0.354,1,0,0.081,72.7,28.99,11.03,10.46,409,2.637,6.55,1.281
5.7,0.081,0.045,6.3,0,0.186,44.64,0.88,2.85,45.89,218,0.453,0.692,1.419
5.7,0.175,0.011,5.2,0,0.154,46.6,0,2.5,44.1,222,0.334,0.649,1.122
8.29,0.129,0.636,3.1,0,0.155,51.35,1.92,7.75,30.22,312,1.886,3.894,1.584
8.7,0.039,0.478,3.3,0,0.131,55.6,0,7.1,26.8,325,1.745,3.768,1.063
6.15,0.076,0.657,5.8,0,0.237,64.43,0,23.38,3.32,474,7.011,7.217,8.285
9.07,0.181,1.36,3.5,0,0.141,70.59,0,4.7,10.51,361,0.85,1.83,0.65
8.47,0.187,1.41,7.1,0,0.124,62.53,0,12.9,10.62,400,3.09,6.79,1.96
6.92,0.125,0.663,2.4,0,0.11,44.16,4.5,9.4,36.48,289,2.057,4.864,1.615
7.42,0.299,0.71,2.6,0,0.138,48.39,4.41,9.49,31.57,309,2.283,5.292,1.526
6.71,0.197,0.682,2.4,0,0.148,45.41,5.04,9.91,34.95,298,1.58,5.195,2.24
6.58,0.279,0.621,2.2,0,0.126,41.05,4.3,9.22,40.34,273,1.89,4.53,1.539
5.71,0.143,0.543,1.4,0,0.071,41.48,12.86,10,40,279,3.571,2.564,3.272
7.19,0.307,0.73,2.4,0,0.144,49.29,5.02,9.61,30.59,312,1.638,4.914,2.197
6.47,0.308,0.638,2.2,0,0.125,42.98,4.91,9.7,37.95,285,1.531,5.129,2.165
7.9,0.255,0.511,0,0.0004,0.159,32.9,0,14.1,42,291,2.866,3.521,6.785
9.8,0.047,0.572,1.8,0,0.082,57.9,0,1.5,28.8,291,0.263,0.195,0.61
4.78,0.116,0.068,2.7,0.0006,0,68.4,62.54,23.36,1.5,502,14.466,0,0
4.44,0.034,0.002,6.7,0,0,65.96,53.07,26.15,1.27,517,15.618,0,0
3.64,0.034,0.003,4,0.0001,0.397,77.41,69.4,15.59,1.59,426,8.606,5.044,1.162
12.1,0.054,0.012,18.1,0,1.166,36.2,0,47.7,0.9,472,25.29,9.23,10.7
12.9,0.101,0.024,16.6,0,0.83,29.84,0.91,52.31,1.34,501,32.351,16.105,1.555
8.78,0.073,0.225,3.1,0.0004,0.347,62.68,47.19,23.98,2.3,482,6.65,10.6,3.39
5.58,0.109,0.039,4.3,0.001,0.306,57.54,51.71,34.5,1.26,563,20.6,8.85,1.46
4.13,0.064,0.142,5,0.0007,0.254,59.51,48.34,26.93,8.2,479,17.59,5.26,1.18
6.19,0.213,0.122,1.2,0.0017,0.341,63.81,56.92,21.19,6.79,462,12.72,5.29,0.63
3.94,0.086,0.245,2,0.0008,0.21,63.39,60.02,30.38,0.86,530,15.62,8.8,2.55
11.97,0.203,0.052,4.4,0,0,46.91,37.13,37.13,0,570,15.23,0,0
9.76,0.22,0.074,3.6,0.0018,0.471,51,44.59,35.73,1.19,550,17.39,14.38,2.42
12.82,0.192,0.064,3.8,0,0,46.15,38.46,38.46,0,577,16.667,0,0
6.24,0.138,0.064,1.9,0.0013,0.294,63.64,53.96,27.84,1.1,520,17.99,4.91,0.51
9.53,0.07,0.264,3.3,0.0006,0.295,55.38,40.33,31.34,1.6,521,13.21,10.82,4.68
6.51,0.125,0.054,1,0,0.231,64.59,48.68,25.99,1.63,518,17.953,5.844,0.895
6.62,0.158,0.196,2.2,0.0008,0.325,63.96,52.53,26.58,1.17,512,15.92,6.25,0.57
2.6,0.054,0.194,1.5,0.0002,0.133,77.77,66.89,12.75,5.8,436,8.646,2.373,0.316
6.35,0.985,0.008,9.1,0.0342,0,60.37,38.99,28.68,2.9,525,13.07,0,0
5.81,1.164,0.007,8.7,0.0426,0,62.99,39.19,29.3,0.7,539,15.703,0,0
9.51,0.84,0.009,10.4,0.0273,0,50.22,26.92,37.07,1.5,573,11.745,0,0
8.21,1.07,0.04,7.8,0.0379,0,62.06,34.96,26.23,1.9,517,14.007,0,0
5.19,0.037,0.004,7.6,0,0,59.4,46.27,32.45,1.66,520,19.209,0,0
5.94,0.16,0.063,2.4,0.0008,0,59.78,55.45,31.72,1.61,546,19.24,0,0
7.53,0.155,0.045,5.6,0.0006,0.381,60.5,49.22,27.76,2.52,522,9.435,11.29,3.753
4.28,0.09,0.136,2,0.0005,0,72.4,58.94,19.32,1.7,475,11.651,0,0
4.78,0.116,0.068,2.7,0.0006,0,68.4,62.54,23.36,1.19,502,14.466,0,0
4.33,0.105,0.061,2.8,0.0005,0.261,71.19,63.68,21.13,1.7,492,13.08,5.183,0.921
10.16,0.088,0.213,4,0.0005,0.33,56.89,47.15,29.32,2,529,18.485,4.448,0.542
9.57,0.102,0.05,3.7,0,0.347,60.48,50.75,26.13,2.48,515,10.169,8.086,3.456
8.1,0.168,0.17,2,0.0007,0.325,62.7,52.1,23,4.5,467,7.268,10.693,3.98
4.01,0.115,0.167,1,0.0007,0.124,71.17,59.69,17.23,6.3,456,12.016,2.23,0.26
4.28,0.141,0.273,0.7,0.0007,0,68.49,58.65,19.17,6.99,463,13.157,0,0
3.82,0.083,0.246,2.8,0.0004,0,67.56,54.08,20.42,6.99,458,13.814,0,0
3.2,0.053,0.168,2.9,0.0002,0.196,71.22,57.81,17.5,7.2,443,11.474,4.639,0.514
2.59,0.06,0.172,1.3,0.0004,0,75.94,67,15.17,5.3,443,9.921,0,0
3.3,0.091,0.146,1,0.0006,0,71.85,61.08,18,5.78,463,8.889,0,0
7.15,0.096,0.224,2.3,0.0005,0,61.07,51.69,24.32,5.78,480,9.891,0,0
0.19,0,0.015,0,0.0668,0.012,90.78,75.84,4.37,3.83,405,4.115,0,0
0.18,0,0.014,0,0.0611,0,91.02,73.16,4,3.83,401,3.765,0,0
0.19,0,0.015,0,0.0671,0,90.77,75.76,4.34,3.83,405,0,0,0
0.19,0,0.015,0,0.0671,0,90.76,75.92,4.25,3.83,402,4.115,0,0
5.4,0.132,0.156,2.6,0.0007,0,64.67,53.93,22.4,5.45,472,8.534,0,0
7.53,0.093,0.239,2.3,0.0005,0.323,61.51,50.47,23.85,5.55,491,9.069,7.875,3.014
6.86,0.09,0.189,1.9,0.0005,0,62.85,46.54,24.38,4.47,488,12.703,0,0
15.25,0.054,0.358,4.7,0,0,43.64,30.87,36.22,2.99,536,8.819,0,0
0.41,0,0.002,0,0.0583,0,82.43,57.98,8.36,8.7,408,7.931,0,0
0.41,0,0.002,0,0.0587,0.002,82.57,58.12,8.21,8.51,408,7.778,0,0
0.41,0,0.002,0,0.0594,0,82.76,58.18,8.31,8.51,409,8.048,0,0
0.39,0,0.089,0,0.0566,0,79.73,56.1,7.78,10.89,400,7.52,0,0
4.91,0.106,0.198,1.1,0.0006,0.186,64.8,48.25,24.85,4.23,502,18.96,2.988,0.628
9.18,0.075,0.226,3.1,0.0003,0.264,54.15,36.13,32.67,1.82,536,15.758,12.317,3.407
7.3,0.13,0.266,3,0.001,0.309,56,53,33.3,2.2,550,4.962,14.319,12.521
4.6,0.021,0.145,3.7,0.0004,0.321,58.59,46.19,26.6,9.05,486,20.58,0.39,0.14
10.22,0.11,0.041,3.8,0.0009,0.394,54.34,47.22,33.21,0.45,538,14.13,8.203,4.366
2.5,0.076,0.203,1,0.0007,0.163,70.97,51.9,19.33,6.1,468,11.9,6.039,1.388
1.67,0.013,0.001,2.4,0,0,79.53,66.6,11.9,6.3,432,8.33,0,0
5.4,0.047,0.23,2,0,0.249,64.8,54,21.6,6.99,459,12.1,5.557,2.638
2,0.035,0.295,0.2,0.0008,0.044,80,48,7.5,8.3,375,5.5,1.03,0.338
5.4,0.036,0.23,2,0,0.22,72.9,45.9,18.9,1.23,459,9.5,5.119,3.164
7.5,0.1,0.038,2.5,0,0,60,52.5,27.5,2.9,475,12.5,0,0
5,0.1,0.15,1.9,0.0005,0.305,67,55,26,0.65,500,16,0,0
9.7,0.089,0.036,9.7,0.0003,0.502,53,43,34,1.9,512,12.1,0,0
7.7,0.069,0.193,1.9,0,0.259,65.5,46.2,23,2.3,462,9.6,5.53,2.706
4.4,0.085,0.033,2.2,0.0016,0,71,59,17,6.4,422,11,0,0
11.34,0.112,0.179,3.1,0.0008,0.382,55.18,48.03,29.85,1.65,521,18,7.06,1.82
11.28,0.068,0.141,3.9,0.0005,0.364,52.8,40.22,32.09,1.5,517,8.86,12.63,8.09
12.46,0.069,0.194,3,0,0.359,59.86,53.25,24.77,1,497,16.42,4.46,1.88
10.24,0.078,0.357,3.6,0.0003,0.343,55.36,47.17,30.53,1.44,515,10.73,13.1,5.5
8.66,0.061,0.33,2.9,0.0004,0.284,61.6,53.08,23.42,4.1,474,8.23,8.94,4.33
8.93,0.036,0.321,3.6,0,0.257,63.9,53.57,23.21,1.66,495,8.036,8.104,4.241
5.08,0.145,0.188,0.9,0.0009,0.188,67.95,63.93,20.93,4.6,474,14.542,2.104,0.265
3.13,0,0.317,1.3,0.0005,0.153,61.72,59.89,32.18,1.57,535,18.78,9.29,1.28
5.54,0.03,0.006,6.5,0,0.502,60.49,47.56,32.4,0.9,556,0,5.14,0.44
8.51,0.251,0.101,1.7,0.0022,0.438,58.01,53.96,30.57,0.94,531,18.34,7.91,0.69
1.59,0.036,0.044,0.1,0,0.116,87.73,56.32,3.31,6.69,387,0.967,1.929,0.266
2.97,0.012,0.261,0.1,0,0.014,79.38,0,1.7,15,338,0.25,0.49,0.04
2.3,0.008,0.195,0.6,0,0.037,79.37,51.35,2.64,15,347,0.54,1.88,0.14
2.56,0,0.287,0,0,0,79.74,39.64,2.32,0,350,0,0,0
8.04,0.118,0.299,1.9,0.0009,0.303,63.23,48.86,23.68,3.04,494,17.04,3.78,0.83
1.78,0.01,0.046,2,0,0.108,81.64,75,7.32,9.09,394,4.43,0.48,0.1
2.19,0.011,0.028,2,0,0.111,80.99,63.78,7.17,9.03,384,4.34,0.41,0.11
0.03,0.004,0.391,0,0,0.003,90.4,80.46,3.3,5.25,391,2.065,0.845,0.122
4.6,0.138,0.245,0,0.0004,0.214,77,65.5,8.1,8.5,382,2.476,1.542,3.478
1.59,0.036,0.044,0.1,0,0.116,85.97,56.32,5.07,6.69,396,0.963,3.836,0.268
8.15,0.303,0.107,3.8,0.0005,0.633,56.29,34.11,31.36,1.54,540,29.018,0.483,0.295
9.5,0.078,0.024,4.3,0.0014,0.445,60.67,41.35,21,6.1,470,4.657,9.444,5.834
12.26,0.285,0.112,3.6,0.0019,0.606,38.55,14.57,43.27,3.23,593,21.91,10.942,4.354
5.09,0.057,0.023,7.2,0,0.568,59.97,46.14,32.2,1,550,18.993,9.801,1.107
2.2,0.034,0.089,0,0.0001,0.064,67.1,67.1,29.05,0.75,539,24.1,2.271,1.041
18.3,0.11,0.25,5,0.0003,0.505,46.88,38.3,29.8,2.67,529,13.12,12.829,2.053
5.87,0.205,0.088,0,0.0005,0.29,63.94,62.36,27,1.91,522,24.104,0.526,0.524
9.53,0.07,0.264,3.3,0.0006,0.295,55.53,40.33,31.34,1.6,542,12.959,10.82,4.68
7.5,0.1,0.025,7.5,0,0.342,59.95,42.5,30,1.47,540,15,0,0
1.32,0.005,0.034,0,0,0.023,89.05,78.96,0.06,9.16,364,0,0,0
0,0.003,0.011,0,0,0.004,93.18,88.9,0.02,6.74,373,0,0,0
2.26,0.045,0.085,1.7,0.0002,0.147,71.34,64.06,17.48,7.82,453,10.669,5.205,0.611
3.24,0.049,0.079,2.1,0.0003,0.17,67.69,0,21.11,7.12,474,10.378,5.506,4.081
2.39,0.049,0.045,1.7,0,0.134,76.44,73.12,10.41,9.81,411,6.448,2.943,0.373
4.38,0.057,0.039,2.5,0.0002,0.183,67.93,63.37,18.93,7.66,461,6.489,3.9,7.529
3.78,0.042,0.118,0.7,0,0.119,77.75,73.36,6.59,10.93,387,1.721,2.867,1.588
3,0.047,0.042,0.9,0.0001,0.103,74.61,71,13.69,7.99,435,3.828,2.454,6.614
1.05,0.038,0.047,0,0,0.049,82.15,79.77,5.45,10.85,383,3.382,1.399,0.227
0,0,0.007,18,0,0,88,70,0.2,11.7,162,0.034,0.092,0.064
0,0.003,0.044,0.1,0,0.005,98.9,58.97,0,1,396,0,0,0
12.49,0.033,0.195,4.5,0.0001,0.187,60.49,0,21.52,3.67,469,4.127,8.194,8.481
0,0.003,0.038,0,0,0.005,98,62.9,0.2,1.3,394,0,0,0
0,0,0,0,0,0,98.6,93,0,1.4,394,0,0,0
0,0.003,0.05,0.2,0,0.037,93.55,70,0.05,6.3,375,0,0,0
1.8,0.003,0.08,0.1,0,0.005,81.3,57.56,0.2,16.4,318,0.056,0.08,0.047
7.65,0.189,0.079,3.4,0,0.372,59.4,51.5,29.66,1.5,535,18.509,7.186,1.376
7.41,0.169,0.07,5.7,0,0.413,55.25,50.75,33.18,2.42,549,18.138,13.735,1.31
13.1,0.104,0.041,4.7,0,0.502,49.7,37.59,33.5,1.9,519,14.6,12.92,4.33
4.1,0.086,0.036,3.1,0.0002,0.514,68.4,62.22,14.8,11.2,390,10.272,3.134,0.571
9,0.224,0.074,6.2,0.0002,0.444,53.4,43.9,34.4,1.5,526,17.701,11.96,3.019
7.64,0.187,0.086,3.3,0.0006,0.37,59.67,51.06,29.37,1.52,511,15.89,8.64,0.78
